Sr. no,SKU,B2B Online,Lehenga Title,Category,Size,Choli Fabric,Lehenga Fabric,Dupatta Fabric,Inner Fabric,Color,Lehenga Length,Lehenga Flair,Lehenga Closer,Lehenga Stitching,Blouse Length,Blouse in Mtr,Dupatta Width,Dupatta Length,Sleeve,Sleeve Length,Neck Type,Work/Pattern,Work Type,Waist,Bust,Stitching,Content,Description,HSN,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,,,,,
65,1010320_Maroon,2295,Maroon Sequin Embroidered Semi-Stitched Wedding & Festive Wear Georgette Lehenga Choli with Border Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Maroon,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',3/4 Sleeve,15 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette,Lehenga Work :: Embroidery Sequence Work ,Lehenga Inner :: Crepe, Lehenga Flair :: 3 Mtr ,Duptta Fabric :: Georgette ,Duptta Work :: Embroidery Sequence Work ,Duptta Size :: 2.2 Mtr,Choli Fabric :: Georgette,Choli Work :: Embroidery Sequence Work.,Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=18mwFS4_ej3GzRGPUZ5lyiPk8d5dq6GPA&usp=drive_copy,https://drive.google.com/open?id=1RxHAIOglBSSVrSaGiPp7ls4EOlbk1IHj&usp=drive_copy,https://drive.google.com/open?id=1oLd5E08b2ERmvCcWidKrG2ZqaZ9edyGH&usp=drive_copy,,,,,,,,,,,,,,,,,
66,1010320_Green,2295,Bottle Green Sequin Embroidered Semi-Stitched Wedding & Festive Wear Georgette Lehenga Choli with Border Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',3/4 Sleeve,15 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette,Lehenga Work :: Embroidery Sequence Work ,Lehenga Inner :: Crepe, Lehenga Flair :: 3 Mtr ,Duptta Fabric :: Georgette ,Duptta Work :: Embroidery Sequence Work ,Duptta Size :: 2.2 Mtr,Choli Fabric :: Georgette,Choli Work :: Embroidery Sequence Work.,Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1HuxehK8dR9Lv4lgJS-attYBe8Wrrauph&usp=drive_copy,https://drive.google.com/open?id=1Wh-C97dkxizdOFd3wqneLqxfx8xKM5RC&usp=drive_copy,https://drive.google.com/open?id=1X4bAtYoqkJS7sNYwOmZxSpdHBKVgljeN&usp=drive_copy,,,,,,,,,,,,,,,,,
67,1010320_Blue,2295,Bottle Blue Sequin Embroidered Semi-Stitched Wedding & Festive Wear Georgette Lehenga Choli with Border Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Blue,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',3/4 Sleeve,15 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette,Lehenga Work :: Embroidery Sequence Work ,Lehenga Inner :: Crepe, Lehenga Flair :: 3 Mtr ,Duptta Fabric :: Georgette ,Duptta Work :: Embroidery Sequence Work ,Duptta Size :: 2.2 Mtr,Choli Fabric :: Georgette,Choli Work :: Embroidery Sequence Work.,Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1s_GSoReL7BOqwW2we1SHGWjWIsyu63np&usp=drive_copy,https://drive.google.com/open?id=1n1PEAJNWX5S2cBaP4oqcDcxXgITlfE5_&usp=drive_copy,https://drive.google.com/open?id=10HOuGsLSavbHDlUyEoUhIPEU7lfMnLLJ&usp=drive_copy,,,,,,,,,,,,,,,,,
68,1010320_Mehendi,2295,Bottle Mehendi Sequin Embroidered Semi-Stitched Wedding & Festive Wear Georgette Lehenga Choli with Border Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Mehendi,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',3/4 Sleeve,15 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette,Lehenga Work :: Embroidery Sequence Work ,Lehenga Inner :: Crepe, Lehenga Flair :: 3 Mtr ,Duptta Fabric :: Georgette ,Duptta Work :: Embroidery Sequence Work ,Duptta Size :: 2.2 Mtr,Choli Fabric :: Georgette,Choli Work :: Embroidery Sequence Work.,Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1_xqfleAd3q0iEg4TIiBog_tpk2QCT4cd&usp=drive_copy,https://drive.google.com/open?id=1dOquyGjrNf3ufkNLwh9TROUP_PI9XLFD&usp=drive_copy,https://drive.google.com/open?id=14YNWwZ7FA2-rDFUtx8bCVbBmHC6bSXEO&usp=drive_copy,https://drive.google.com/open?id=1SEMD8EPmJzMDyqzCBBmUsXccLhMSWLNb&usp=drive_copy,https://drive.google.com/open?id=1Rbv7F8PyFO3i1XMi58NEtWIHcOx3z0Ai&usp=drive_copy,,,,,,,,,,,,,,,
69,1010318_Pink,2595,Elegant Pink Floral Embroidered Festive & Wedding Wear Semi-Stitched satin Lehenga Choli with Heavy Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Ultra Satin,Ultra Satin,Net,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Cording Work,Embroidery Cording Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Ultra Satin, Lehenga Work :: Embroidery Cording Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Coding Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Ultra Satin , Choli Work :: Embroidery Coding Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1MDwyThXMFjYk_rsMSkoTAtbLUj90sEsp&usp=drive_copy,https://drive.google.com/open?id=1XsOCJzluZ9AIcbqtCBQM_j0TJS31j_ox&usp=drive_copy,https://drive.google.com/open?id=1LxuNFLmO37yq44p_FgsWRwNDWGJbl-uk&usp=drive_copy,https://drive.google.com/open?id=1bPP46QVzTnXmJTxLjxDisGH3bn1cgNH9&usp=drive_copy,https://drive.google.com/open?id=1_fDKIINjKmVicp-PgUCTVvFeQ-jIxLin&usp=drive_copy,https://drive.google.com/open?id=1AGep1SY--ouRSrUDS6q4xgU5vc7t21nA&usp=drive_copy,https://drive.google.com/open?id=1-g-Jtmp4ibyPtwHVTg1kVADeBEwfQ0CU&usp=drive_copy,,,,,,,,,,,,,
70,1010317_pista,2595,Graceful Pastel Green Floral Embroidered Festive & Wedding Wear Semi-Stitched satin Lehenga Choli with Heavy Contrast Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Ultra Satin,Ultra Satin,Net,Crepe,Pista,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Cording Work,Embroidery Cording Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Ultra Satin, Lehenga Work :: Embroidery Cording Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Coding Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Ultra Satin , Choli Work :: Embroidery Coding Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1GK0ykWl0IS5V7FjwiSLUxs3ZJNmiMyYh&usp=drive_copy,https://drive.google.com/open?id=1QIIRz_GhNM-htAS5LVBXuzEHjNTu25Ps&usp=drive_copy,https://drive.google.com/open?id=1SJl6XRkIbi19OcMM6-eyhsO7cKiI33pp&usp=drive_copy,https://drive.google.com/open?id=1YBowTM2ffNXXQWICfGRyZNj2X6fGaBWK&usp=drive_copy,https://drive.google.com/open?id=1vg4vHo2lMbgN6HxJUhAvph2dEyjw4Wme&usp=drive_copy,https://drive.google.com/open?id=13HjYj-92w2_iEp8csj0QJkAXhCYzzsxW&usp=drive_copy,https://drive.google.com/open?id=1ABrmkHJcZr1gZdpkotZ3OEc7Mo7Fmhwq&usp=drive_copy,,,,,,,,,,,,,
71,1010316_Pink,2595,Elegant Powder Blue Embroidered Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Heavy Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Ultra Satin,Ultra Satin,Net,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Cording Work,Embroidery Cording Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Ultra Satin, Lehenga Work :: Embroidery Cording Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Coding Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Ultra Satin , Choli Work :: Embroidery Coding Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1vX0aGCc3DclwC1BXFbQXg7oGU97Vw5VY&usp=drive_copy,https://drive.google.com/open?id=15ln37lnzqFLeHff3D8jU5_N4YHHrQ8Fw&usp=drive_copy,https://drive.google.com/open?id=177UlZlQNDDshLAw7y_o4u_xXpWFVyRTz&usp=drive_copy,https://drive.google.com/open?id=1WvSc0GC5OaHktB1wloGDKinsCHa3-pFB&usp=drive_copy,https://drive.google.com/open?id=1hPeYlPMw44KktztNVKt0yfg8fnut2L4d&usp=drive_copy,https://drive.google.com/open?id=1GxlS4nHWIO746qSNg7bJ7-1hiiUowA1G&usp=drive_copy,https://drive.google.com/open?id=1UFKSV2YF4ZR9VU4uZV20HtieUgGv9_A4&usp=drive_copy,,,,,,,,,,,,,
72,1010316_Sky,2595,Elegant Peach Embroidered Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Heavy Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Ultra Satin,Ultra Satin,Net,Crepe,Sky Blue,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Cording Work,Embroidery Cording Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Ultra Satin, Lehenga Work :: Embroidery Cording Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Coding Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Ultra Satin , Choli Work :: Embroidery Coding Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1EXupbk-NkJhF0uXMQ2twM7A1rJ2-vF7s&usp=drive_copy,https://drive.google.com/open?id=1PuoG9saHBymlrVCPgoRPdIYjk9aonKZU&usp=drive_copy,https://drive.google.com/open?id=1ZfaZMI1SdtyXr8F0ZsqKu6IP0g-nwPH8&usp=drive_copy,https://drive.google.com/open?id=1ENMrdOMfLx2dMwFqEPec72MoLvJOwetZ&usp=drive_copy,https://drive.google.com/open?id=1KqarloVu5a7oz_7435QOFoyODdBpzEX-&usp=drive_copy,https://drive.google.com/open?id=1Twklv-iuZhU-1NGn37W1PHFvYjMia3Tb&usp=drive_copy,https://drive.google.com/open?id=1Uc_2BhDP5qotXju3zj083_IWLWJ-O6sW&usp=drive_copy,,,,,,,,,,,,,
73,1010315_Pista,2595,**Elegant Mint Green Floral Embroidered Festive & Party Wear Semi-Stitched Silk Lehenga Choli with Designer Net Dupatta Work**,Lehenga Choli,Free Size up to 42Inch,Ultra Satin,Ultra Satin,Net,Crepe,Pista,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Boat,Embroidery Cording Work,Embroidery Cording Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Ultra Satin, Lehenga Work :: Embroidery Cording Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Coding Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Ultra Satin , Choli Work :: Embroidery Coding Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1Zb24JPD8yaMhz6KYBddKM8gKMBiBPm-_&usp=drive_copy,https://drive.google.com/open?id=1zyJgrX8fzJjyMRN8vnhzzDSozNHW_0OS&usp=drive_copy,https://drive.google.com/open?id=1-UIsyKUo-J17KZJSsISQw1DZbm0-vBmo&usp=drive_copy,https://drive.google.com/open?id=1FQcq3wl7d3orVgBnLO1Vmyosk-kqX0E-&usp=drive_copy,https://drive.google.com/open?id=1QuZDocqszyWiPFtp7BUCGwj8zKv_lZBu&usp=drive_copy,https://drive.google.com/open?id=1XtxkF8rcyqq0fF3-XlSQb270jNtGBWls&usp=drive_copy,https://drive.google.com/open?id=1SONjUsWqbUvtGvGzAuJMeeniY9pch1Gs&usp=drive_copy,,,,,,,,,,,,,
74,1010314_Pinklehenriya,1594,Elegant Rani Pink Leheriya Printed Festive & Wedding Wear Semi-Stitched Georgette Lehenga Choli with Golden Lace Border Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Printed,Printed,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Printed Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette , Duptta Work :: Printed , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Printed , Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1eDcNviUsZWxKxrNXObzKfCdXvWE3KdVV&usp=drive_copy,https://drive.google.com/open?id=1UorjooOuYd8urv4unIRFnnvxqG3P1iZX&usp=drive_copy,https://drive.google.com/open?id=1jO_13rcm2vir-4rPQ93hoZDwsU3FYZ0L&usp=drive_copy,https://drive.google.com/open?id=1Z-VGrfcbRp46EIM0NNL-OWHZd5O1f6VD&usp=drive_copy,https://drive.google.com/open?id=1T8Uc8L5g3tDSHcYlxfNsJtC_yScU-35R&usp=drive_copy,https://drive.google.com/open?id=1Fi5gAdl7I9kaVpoJEB7BhqcgzO_J_5JC&usp=drive_copy,,,,,,,,,,,,,,
75,1010313_Pinkprinted,1594,Elegant Rani Pink Floral Printed Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Matching Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Printed,Printed,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Printed Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette , Duptta Work :: Printed , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Printed , Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1w4psFjSWt06dhf75Qg7y7iLa-nr7hN_c&usp=drive_copy,https://drive.google.com/open?id=1Xh0iSK3h4jnI5YYLo8QHxWBOxJ1wwUb6&usp=drive_copy,https://drive.google.com/open?id=1UsriH2V72iXtOBQkq1if5unaBpwPAk4z&usp=drive_copy,https://drive.google.com/open?id=1J70tNLFPTCpdCmNcDjpF1EX9jbu4a73x&usp=drive_copy,,,,,,,,,,,,,,,,
76,1010312_Green,1594,Elegant Bottle Green Solid Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Matching Dupatta,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,V-Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Plain, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work :: Plain , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Embrodiery Sequence Work , Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1Vq_wWYciX7G76GWWVjufV0zf0G0t0zsH&usp=drive_copy,https://drive.google.com/open?id=1Nz6B9IhTe7kEqnIkIdN88MU4YKcIf120&usp=drive_copy,https://drive.google.com/open?id=14-oAlgYNKx7U0tGBNSzsbVtdWORY61jX&usp=drive_copy,https://drive.google.com/open?id=1xgEp6a7zc3iVUQ3LRu7ApKbeGmiTJnNA&usp=drive_copy,https://drive.google.com/open?id=12iGS7QVw-KWNn8gXv9cmNbztBUCMTJM1&usp=drive_copy,https://drive.google.com/open?id=1DAufTYyUmh21nduIpHUZkH3FdGUJbAZF&usp=drive_copy,https://drive.google.com/open?id=1YKbNt_5F_FXC9ubP7ktQqXm0f16rMgyx&usp=drive_copy,,,,,,,,,,,,,
77,1010311_Rama,2095,Elegant Teal Blue Embroidered Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Heavy Net Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Net,Crepe,Rama,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Embrodiery Sequence Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embrodiery Sequence Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Embrodiery Sequence Work, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1UHrdWAj6rz_v8B6co3ULtHtPQh2GvEZB&usp=drive_copy,https://drive.google.com/open?id=1XbzTFSXfPWZknulotavWsPNAPFafELQT&usp=drive_copy,https://drive.google.com/open?id=1-xqySAHfY1qQhL2WQjsHR9Ux_3FqZpjN&usp=drive_copy,https://drive.google.com/open?id=1bDwdjOpsid-YzsCg3Hop6rzGck-Z-MpQ&usp=drive_copy,https://drive.google.com/open?id=1scaxhb2PDustRvkYCsxKrZxNObeEOHly&usp=drive_copy,,,,,,,,,,,,,,,
78,1010310_Mehendi,1495,Designer light Green Thread Embroidered Festive & Party Wear Semi-Stitched Georgette Lehenga Choli with Heavy Net Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Mehendi,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,V-Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embroidery Chain Stitch Work Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1XDuge2RvorOGBrbTNhG3BeCu-9eYilO0&usp=drive_copy,https://drive.google.com/open?id=1E8u8575qI_6yzOwfL5AiUZBNplVJ2EID&usp=drive_copy,https://drive.google.com/open?id=10D2ruy6PfsVuebiwvUP7jEZ-A8M2Q-Em&usp=drive_copy,https://drive.google.com/open?id=1S-qeR5JNrnTKzTqZoekkuxl7xOPfD1ku&usp=drive_copy,https://drive.google.com/open?id=1U3PigtKRftBeUXqICl20lHtUVsGVFHXF&usp=drive_copy,https://drive.google.com/open?id=1JxMyzQqtRUDBW3DgXcYtwdK82uVMIHHR&usp=drive_copy,,,,,,,,,,,,,,
79,1010309_Green,1895,Elegant Bottle Green Embroidered Festive & Wedding Wear Semi-Stitched Georgette Lehenga Choli with Heavy Net Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=12gt3ZX6BI4XV73euHQf5vo1K9vZDoTXJ&usp=drive_copy,https://drive.google.com/open?id=1QwqRd_HAGTUdpYw-aQoTwhS6NnBrJ_M1&usp=drive_copy,https://drive.google.com/open?id=1kIQtHz2uXs8rtYntOuJWr07uqyBnwwRu&usp=drive_copy,https://drive.google.com/open?id=1gTUANwNpTCDJqjwNp_K-QVMSz1mWF1Bh&usp=drive_copy,https://drive.google.com/open?id=1pj7OsTgpX8wn8lT7TC2A74twpbo-B1Kz&usp=drive_copy,,,,,,,,,,,,,,,
80,1010308_Peach,1895,Elegant Peach Sequin & Thread Embroidered Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Heavy Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Peach,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Ultra Satin ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=17QzRaEAXqBq0qjwLNppnkYTTH7YWzO78&usp=drive_copy,https://drive.google.com/open?id=1lEq_Xg6M0gfI0JDhH9_Nh4IuvteIIWVw&usp=drive_copy,https://drive.google.com/open?id=16bINY6ohInFGnwp_QeAayifkUSyVrWE-&usp=drive_copy,https://drive.google.com/open?id=1DwTLFpmxYGbPAdz8652ptQqvrIx0eNIb&usp=drive_copy,https://drive.google.com/open?id=119JVOEd2q8ELE_ERdPjOzcT-fEeuWScZ&usp=drive_copy,,,,,,,,,,,,,,,
81,1010307_Mint Green,1895,Pastel Mint Green Embroidered Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Designer Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Mint Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Ultra Satin ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work ::Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1HFYwDLfCq_F4BqjU9wnS7V_zsZn5XaxN&usp=drive_copy,https://drive.google.com/open?id=1Pnkla2vpnoVKseCEH6B9q-6B4ozimEIu&usp=drive_copy,https://drive.google.com/open?id=124It-ZmlvwqcPR6R0V7n51paq2cX15Gc&usp=drive_copy,https://drive.google.com/open?id=1v2SSlbXabXBS1ZeMEd9MklvX9CFyTjoJ&usp=drive_copy,https://drive.google.com/open?id=1ShCPo8yjHp-h_km2feLHjCZ5h0A9CdV2&usp=drive_copy,,,,,,,,,,,,,,,
82,1010306_Yellow,1895,Lemon Yellow Embroidered Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Elegant Dupatta Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Yellow,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeve,9 Inch,Round Neck,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Embroidery Chain Stitch Work , Lehenga Inner :: Ultra Satin,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net,Duptta Work :: Embroidery Chain Stitch Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Net,Choli Work :: Embroidery Chain Stitch Work, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1CO_kmelEIau16v-dbwRWScLaxfJKtykN&usp=drive_copy,https://drive.google.com/open?id=1QPRG0Sk24P-jQhtaTugAsQu49l2JW1dk&usp=drive_copy,https://drive.google.com/open?id=1exyvgCQ8CWxbS3EVYz657r_bHrFYpXdX&usp=drive_copy,https://drive.google.com/open?id=1Eb6LSGPgf_X63rgN5GUAhFXDa9enAc9J&usp=drive_copy,https://drive.google.com/open?id=1jRNM73kkQ7Y9AF52sxsVKu5QFjwyq-Yg&usp=drive_copy,,,,,,,,,,,,,,,
