SR NO,SKU NO,Size,B2b Rate,GST,Kurti Fabric,Bottom Fabric,Dupatta Fabric,Inner Fabric,Kurti Length,Bottom Length,Dupatta Length,Neck Type,Sleeve,Sleeve Length,Work,Colour,Stitching Type,Content,Descripation,HSN,Video Link,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,,,,,,,,
11,201021_Rani,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Soft Silk,Soft Silk,Soft Silk,NA,54 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Sequance Work,Pink,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Soft Silk || Bottom Fabric :- Soft Silk || Dupatta Fabric :- Soft Silk || Kurti Work Type :-Embroidery Work Sequance Work || Bottom Work :- Embroidery Sequance Lace Work || Dupatta Work :-Embroidery Sequance Work || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1-EFW568ZMAbjrpnlRtDQMbjAIC2GPlo3/view?usp=sharing,201021_Rani (1).jpg,https://drive.google.com/file/d/10QzTdN6kf3-A7eDmzcDIFiKRzNjwzXZL/view?usp=drive_link,201021_Rani_(2).jpg,201021_Rani_(4).jpg,201021_Rani_(5).jpg,,,,,,,,,,,,,,
12,201022_Teal,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Viscose shimmer,Viscose shimmer,Simmer Silk,cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Teal,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Viscose shimmer || Bottom Fabric :- Viscose shimmer || Dupatta Fabric :- Simmer Silk || Kurti Work Type :- Embroidery Beads Hand Work&Floral Printed || Bottom Work :- Embroidery Lace Work || Dupatta Work :- Floral Printed || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1ANEjKn8HR23vu6lVNtgUQUxwCiqQTf_Y/view?usp=sharing,https://drive.google.com/file/d/1ZBC93jHmSgcpuOuOyl7379elthwsvgAd/view?usp=drive_link,https://drive.google.com/file/d/1MxjTuDP2MzqGqMw_QO3KlAt67f2KpdwP/view?usp=drive_link,https://drive.google.com/file/d/1cbS56FlnX3l1esu2vc3ExKnLSAOnFiVE/view?usp=drive_link,201022_Teal (4).jpg,https://drive.google.com/file/d/1GB1dTeEdaXBxd8kyRLjU0TyInJQhqSbY/view?usp=drive_link,https://drive.google.com/file/d/1S_nw0L23NqC-3cumPpXj9_efs0fkPLXE/view?usp=drive_link,https://drive.google.com/file/d/1yfaLzWYy8DLJ03W5_E6is6DHA1FIrrkO/view?usp=drive_link,,,,,,,,,,,,
13,201023_Beige,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Beige,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance & Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/17QQkiY8z5mBgyRx-b97vFTlMTDXQLc0Y/view?usp=sharing,https://drive.google.com/file/d/1_o0MAUyZsmAGR37Tj0hWjjRiIsRvvcRy/view?usp=drive_link,https://drive.google.com/file/d/1TyrSMh7Iy3HRLS-fqBQ63UNVMOlEgIZ3/view?usp=drive_link,https://drive.google.com/file/d/1bEdg4KDK2VT2tjmsCHAQXeCfy_Ad6WNf/view?usp=drive_link,https://drive.google.com/file/d/1n8MDNConY9MtY08Ec4adz4Bc5ExPpO0e/view?usp=drive_link,https://drive.google.com/file/d/1QJT5jWaipURGPx8Xa34MqPPDJzfbAHWe/view?usp=drive_link,https://drive.google.com/file/d/1d_gTeEvl8-xMo7bRLZxFCDfGcwwhcH3k/view?usp=drive_link,https://drive.google.com/file/d/1FeKJd8M6A-e1_plxMsbka1UUIzqaP9fH/view?usp=drive_link,https://drive.google.com/file/d/1-n6jldg4pbnAx8kNd1t4zY3fUrH--oeu/view?usp=drive_link,,,,,,,,,,,
14,201024_tshara,"M(38),L(40),XL(42),XXL(44)",2095,5% Extra,Georgette,Georgette,Georgette,Crepe,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Teal,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Georgette || Bottom Fabric :- Georgette || Dupatta Fabric :- Georgette || Kurti Work Type :-Embroidery Chain Stich Work || Bottom Work :-Embroidery Chain Stich Work || Dupatta Work :-Embroidery Chain Stich Work || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,https://drive.google.com/file/d/1JfGJ8pY6OLBbZIGQmDwWgVSpPNhr1BTO/view?usp=sharing,https://drive.google.com/file/d/1rjmZxD06AGPOq0h2VmXVP2abksxPV26C/view?usp=drive_link,https://drive.google.com/file/d/12ufsayUYmkJNitXV1osmdWAtFCehHgzm/view?usp=drive_link,https://drive.google.com/file/d/1EhRSvrcb5BrTYcnnkOFxJhg3IBEjYG6x/view?usp=drive_link,https://drive.google.com/file/d/1XtqBgIRYSMrNBH_2pqhw4K0CyM7-3ep2/view?usp=drive_link,https://drive.google.com/file/d/1wwlWhZ-v4nIa4q-e3JFuQAQ-AbPFd0iV/view?usp=drive_link,https://drive.google.com/file/d/1-6fDagix6IQLm2RhhYBduzMMDLNMUmZ5/view?usp=drive_link,https://drive.google.com/file/d/1--S2Xlw5a4OQy7OCU6lLBej1DmnNyOqu/view?usp=drive_link,https://drive.google.com/file/d/1o4ld3GeZZyCDpcvKkw16nac89-a8pZ6p/view?usp=drive_link,,,,,,,,,,,
15,201025_Skirt,"M(38),L(40),XL(42),XXL(44)",1595,5% Extra,Cotton Silk,Jequard,Jequard Simmer Digital Print,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Pink,Full Stitched,Kurti :: 1 Skirt ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Lehenga Fabric :- Jequard || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Lehenga Work :-Plain || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1rGlU4S8N63y0Q6GSuuUDzSfkwB8A7amS/view?usp=sharing,https://drive.google.com/file/d/1r9-IRC8zQExQdQVjQsI0kPfW4Je57t9U/view?usp=drive_link,https://drive.google.com/file/d/1aJh2v2F7EdcAUtpLtPHQBL314dUxGJNK/view?usp=drive_link,https://drive.google.com/file/d/10xB38ZMc4991CejVNluYQ27IHMf4pU3R/view?usp=drive_link,https://drive.google.com/file/d/1z02o298wRWm2IssEA11PewOmIBz4BKh6/view?usp=drive_link,https://drive.google.com/file/d/1UvQ_1FPko1lZRZz-Gy3AKlarWhuxIC9e/view?usp=drive_link,https://drive.google.com/file/d/1O6zPH577nekZe5NaWZtquM1q_gLveCxB/view?usp=drive_link,https://drive.google.com/file/d/1iI5ZQAUuJk-sAzogzBzlkANGmt-MkNPY/view?usp=drive_link,,,,,,,,,,,,
16,201026_Muster,"M(38),L(40),XL(42),XXL(44)",2095,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Muster,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,https://drive.google.com/file/d/1Zno8W_IG3XpgfHvZfu3DNRr1ua_FTytA/view?usp=drive_link,https://drive.google.com/file/d/10-AY_8Or4Yv-1eGvJ0_jgM8qqK8Aphr4/view?usp=drive_link,201026_Musterd (3).jpg,https://drive.google.com/file/d/1hoXcr4IDS6cV9eM5aLwXbMStQBJ9GXpl/view?usp=drive_link,,,,,,,,,,,,,,,
17,201027_Purple,"M(38),L(40),XL(42),XXL(44)",2095,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201027_Purple (1).png,201027_Purple (2).png,https://drive.google.com/file/d/1SnUT4RsolBdlSnjHR29jVU_m8wKL4NZ8/view?usp=drive_link,,,,,,,,,,,,,,,,
18,N201027_Purple,"M(38),L(40),XL(42),XXL(44)",2095,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,N201027_Purple (1).png,N201027_Purple (2).png,https://drive.google.com/file/d/1LPFTCr0480zklN_hXqEKbJrpA-WbH804/view?usp=drive_link,,,,,,,,,,,,,,,,
19,NN201027_Purple,"M(38),L(40),XL(42),XXL(44)",2095,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,NN201027_Purple (1).png,NN201027_Purple (2).png,https://drive.google.com/file/d/1QjGA4otNU38dn7nGM2hVId3isgJfDhpr/view?usp=drive_link,,,,,,,,,,,,,,,,
20,201028_Black,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Cotton Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Embroidery With Sequence Work,Black,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton Silk || Kurti Work Type :-Embroidery Sequance Work & Florer Printed || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201028_Black (1).png,201028_Black (2).png,,,,,,,,,,,,,,,,,
