SR NO,SKU NO,Size,B2b Rate,GST,Kurti Fabric,Bottom Fabric,Dupatta Fabric,Inner Fabric,Kurti Length,Bottom Length,Dupatta Length,Neck Type,Sleeve,Sleeve Length,Work,Colour,Stitching Type,Content,Descripation,HSN,Video Link,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,,,,,,,,
21,201028_Green,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Cotton Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Embroidery With Sequence Work,Green,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton Silk || Kurti Work Type :-Embroidery Sequance Work & Florer Printed || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,https://drive.google.com/file/d/178H2yBF_flJkMsmmT9TNdxXLubAqwyfa/view?usp=drive_link,https://drive.google.com/file/d/1YMkljYTd_vVQrzNC2N38hJcvVMtV1XWx/view?usp=drive_link,,,,,,,,,,,,,,,,,
22,201028_Pink,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Cotton Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Embroidery With Sequence Work,Pink,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton Silk || Kurti Work Type :-Embroidery Sequance Work & Florer Printed || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201028_Pink (1).png,201028_Pink (2).png,,,,,,,,,,,,,,,,,
23,201029_Pink,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Cotton Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Embroidery With Sequence Work,Pink,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton Silk || Kurti Work Type :-Embroidery Sequance Work & Florer Printed || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201029_Pink (1).jpg,201029_Pink (2).jpg,201029_Pink (3).jpg,201029_Pink (4).jpg,201029_Pink (5).jpg,201029_Pink (6).jpg,,,,,,,,,,,,,
24,201029_Green,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Cotton Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Embroidery With Sequence Work,Green,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton Silk || Kurti Work Type :-Embroidery Sequance Work & Florer Printed || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201029_Green (1).jpg,201029_Green (2).jpg,201029_Green (3).jpg,https://drive.google.com/file/d/1oond57zosIbei0YyDOClW3iWGb8g2J-i/view?usp=drive_link,201029_Green (5).jpg,https://drive.google.com/file/d/1O9kYe0Hl-RdExSjSLMEGaInxtdmSw-AI/view?usp=drive_link,,,,,,,,,,,,,
25,201029_Black,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Cotton Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Embroidery With Sequence Work,Black,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton Silk || Kurti Work Type :-Embroidery Sequance Work & Florer Printed || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,https://drive.google.com/file/d/10wCRBEkn-QuVCbpmtoMV4Lsh6W_YeM-B/view?usp=drive_link,https://drive.google.com/file/d/1dz9jVROJxqfYCpIQ8l7NTAutOylizV1d/view?usp=drive_link,201029_Black (3).jpg,201029_Black (4).jpg,201029_Black (5).jpg,https://drive.google.com/file/d/1UOkqZRENc3rVzb3x17Iny6pAcNWK9jO5/view?usp=drive_link,,,,,,,,,,,,,
26,201030_Peach,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Vatican,Vatican,Chanderi Jacquard,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery With Multi Thread Work,Peach,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Vatican || Bottom Fabric :- Vatican || Dupatta Fabric :- Chanderi Jequard || Kurti Work Type :-Embroidery With Multi Thread Work|| Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201030_Peach (1).jpg,201030_Peach (2).jpg,201030_Peach (3).jpg,201030_Peach (4).jpg,201030_Peach (5).jpg,https://drive.google.com/file/d/1jHEfRnDjLEyrPnqEKz8BYz8lwl7OVCyK/view?usp=drive_link,,,,,,,,,,,,,
27,201030_Lavender,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Vatican,Vatican,Chanderi Jacquard,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery With Multi Thread Work,Lavender,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Vatican || Bottom Fabric :- Vatican || Dupatta Fabric :- Chanderi Jequard || Kurti Work Type :-Embroidery Thread Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201030_Purple (1).jpg,201030_Purple (2).jpg,201030_Purple (3).jpg,201030_Purple (4).jpg,201030_Purple (5).jpg,201030_Purple (6).jpg,,,,,,,,,,,,,
28,201030_Grey,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Vatican,Vatican,Chanderi Jacquard,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery With Multi Thread Work,Grey,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Vatican || Bottom Fabric :- Vatican || Dupatta Fabric :- Chanderi Jequard || Kurti Work Type :-Embroidery Thread Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,,201030_Grey (1).jpg,201030_Grey (2).jpg,201030_Grey (3).jpg,201030_Grey (4).jpg,201030_Grey (5).jpg,201030_Grey (6).jpg,,,,,,,,,,,,,
29,201031_Purple,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work & Hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1IWj-mcn-g78gPTEkZyhlwFha5_O6w4DM/view?usp=drive_link,https://drive.google.com/file/d/15tPKAttxnkBAwz-h0DK8uV75A7ubc3Wf/view?usp=drive_link,https://drive.google.com/file/d/1DmkLqIyjJEHITQnTsPCG795_tApas1Qx/view?usp=drive_link,https://drive.google.com/file/d/1R12lKCcC66MxbeUv__exMxOxXu8OVLat/view?usp=drive_link,https://drive.google.com/file/d/1fK6fVwwplYhojQc87TVqF56Ebzy0jbiN/view?usp=drive_link,https://drive.google.com/file/d/15GQXgnKAt7deP3BjNO8RSlr4C2-iTqSB/view?usp=drive_link,,,,,,,,,,,,,
30,201031_Dusty Lavender,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Lavender,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work & Hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1Z5nXQMbHCYd6p-in2Q3z5QR0aC3RYW0B/view?usp=drive_link,https://drive.google.com/file/d/1RQuJ6d1s9D4lCSaYxn61LSNfui8c9Koa/view?usp=drive_link,https://drive.google.com/file/d/1_xlabnwBuce1YGLlT4T2Yka1c3RF0Wnw/view?usp=drive_link,https://drive.google.com/file/d/1dn8KE9L3WtoWv_hR29T9eMNSsIdsEUEy/view?usp=drive_link,https://drive.google.com/file/d/1Ki-AkMUczxgOOkUvbz5FpFaPELjDL5Q_/view?usp=drive_link,https://drive.google.com/file/d/1sH6FwD8OBSGckljg2eXi_bqtK9bdKLDL/view?usp=drive_link,,,,,,,,,,,,,
31,201031_Yellow,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Yellow,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work & Hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1vYFXqYCvsIT4uO55pmHqu-u1whD2-fcM/view?usp=drive_link,https://drive.google.com/file/d/180tPdYJBeR1Wzz0Z33inkqUjVlarkQQd/view?usp=drive_link,https://drive.google.com/file/d/1yYRIF4fS5sYJuz3SJDrQs_PrHsYF38eK/view?usp=drive_link,https://drive.google.com/file/d/1KKAsy60eFkdJb1I4-ubQcgHocbb8EbEW/view?usp=drive_link,https://drive.google.com/file/d/1dBNEkgLDn7n3K41sz8aazCPxM6XWIS0M/view?usp=drive_link,,,,,,,,,,,,,,
32,201032_Cream,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Cream,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/19cZPPP3hDxO3a6z8UM2Np9lTatv1EZMl/view?usp=drive_link,https://drive.google.com/file/d/12XEi7LrKOAWXIi5TT19Da1CDkWJq6j6n/view?usp=drive_link,https://drive.google.com/file/d/1AyiTghSYygQNYqEPETtRvJ8zDKOzmS6g/view?usp=drive_link,https://drive.google.com/file/d/14qmWRvhE95nXb2K9HSNGEP-pddKFJbBx/view?usp=drive_link,https://drive.google.com/file/d/1cnR-nHBkF_zF_-l5Gkr4ajsPKnuW1ttj/view?usp=drive_link,https://drive.google.com/file/d/1Wp20AYI_kWhPGIzjbWWMGZl-pPKZTa4b/view?usp=drive_link,https://drive.google.com/file/d/1gTlIjcsYJ4KwLhoqGAAeT_5Rwh3KE446/view?usp=drive_link,https://drive.google.com/file/d/1zw5WGSeT8AGO8rDiWv9IO1U_15kJMHC0/view?usp=drive_link,,,,,,,,,,,
33,201032_Aquablue,"M(38),L(40),XL(42),XXL(44)",1896,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Aquablue,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1GtP1vH4HhljPfodyxSVc5ffzlcll0bp1/view?usp=drive_link,https://drive.google.com/file/d/1VeF8Ikr-wfN3-UWYJLc6glaegp169CV5/view?usp=drive_link,https://drive.google.com/file/d/1kkEdu1cLpwIrPTf1A74Z3cIdIbwFqCJY/view?usp=drive_link,https://drive.google.com/file/d/11d5e3TAAXGfffc58W7lltSX-A0BOco7a/view?usp=drive_link,,,,,,,,,,,,,,,
34,201033_Green,"M(38),L(40),XL(42),XXL(44)",1795,5% Extra,Jequard Silk,Simmer Silk,Jequard Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Square,3/4 Sleve,18 Inch '',Woven/printed pattern,Green,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Jequard Silk || Bottom Fabric :- Simmer Silk || Dupatta Fabric :- Jequard Silk || Kurti Work Type :-Woven/printed pattern Work || Bottom Work :-Plain || Dupatta Work :-woven/printed Dupatta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1NA_0vd4bg4sLng2Qgr19D_dP_hLey5gf/view?usp=drive_link,https://drive.google.com/file/d/180LdxSVjq1Nzj4M7FmsybYxqA4EhxpOH/view?usp=drive_link,https://drive.google.com/file/d/1gXIR28GrqaXPDt38VafOI0WQrva-Utt-/view?usp=drive_link,https://drive.google.com/file/d/13TFlVvNldUfQloUP5C8QQ54newLjPDWq/view?usp=drive_link,,,,,,,,,,,,,,,
35,201033_Lavender,"M(38),L(40),XL(42),XXL(44)",1795,5% Extra,Jequard Silk,Simmer Silk,Jequard Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Square,3/4 Sleve,18 Inch '',Woven/printed pattern,Lavender,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Jequard Silk || Bottom Fabric :- Simmer Silk || Dupatta Fabric :- Jequard Silk || Kurti Work Type :-Woven/printed pattern Work || Bottom Work :-Plain || Dupatta Work :-woven/printed Dupatta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1BSGdxeBb6sDKr2QphlRaweSFlICaq0pD/view?usp=drive_link,https://drive.google.com/file/d/1GFmU20dEOrD7Vkrd9b4R89I7594MaxM7/view?usp=drive_link,https://drive.google.com/file/d/1AZksUkz9c6I19pWFAM4XpUTssYNmLVWU/view?usp=drive_link,https://drive.google.com/file/d/1Zwi7vARJZ8bOLbX2-A7wlYmsrjRP-3rx/view?usp=drive_link,https://drive.google.com/file/d/1OGrscuCrirbJgvPVPlv4QOZyx9Qdt8er/view?usp=drive_link,,,,,,,,,,,,,,
36,201033_Pink,"M(38),L(40),XL(42),XXL(44)",1795,5% Extra,Jequard Silk,Simmer Silk,Jequard Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Square,3/4 Sleve,18 Inch '',Woven/printed pattern,Pink,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Jequard Silk || Bottom Fabric :- Simmer Silk || Dupatta Fabric :- Jequard Silk || Kurti Work Type :-Woven/printed pattern Work || Bottom Work :-Plain || Dupatta Work :-woven/printed Dupatta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1mdqf8wj3SVAYfQHGa7eJzCb0MIrQcnx8/view?usp=drive_link,https://drive.google.com/file/d/1aMh4ldQHcFQ6zf7NMBRPjN8PFiUIhhGl/view?usp=drive_link,https://drive.google.com/file/d/1Y69bCiAfwfivofvXpuh12I6bK064Np9C/view?usp=drive_link,https://drive.google.com/file/d/1GnP5m-y3Om-PJQBBHn7HBb4alddXaTDi/view?usp=drive_link,https://drive.google.com/file/d/1TiWh8gkr9Ls3lfsJMVmEk-g4VQ7Ab1Kk/view?usp=drive_link,,,,,,,,,,,,,,
37,201033_Red,"M(38),L(40),XL(42),XXL(44)",1795,5% Extra,Jequard Silk,Simmer Silk,Jequard Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Square,3/4 Sleve,18 Inch '',Woven/printed pattern,Red,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Jequard Silk || Bottom Fabric :- Simmer Silk || Dupatta Fabric :- Jequard Silk || Kurti Work Type :-Woven/printed pattern Work || Bottom Work :-Plain || Dupatta Work :-woven/printed Dupatta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1Id4KzvaKmLTnI7ntpjcJY0Z9uJS7Zgmu/view?usp=drive_link,https://drive.google.com/file/d/1vYzlu4ERcDPQov0XjRWvcXI_Y0Kw1Of6/view?usp=drive_link,https://drive.google.com/file/d/1IxsBMyFROGZVOzOrj2vu7WDj6tL9DYwl/view?usp=drive_link,https://drive.google.com/file/d/1SunzevhVwhcxbu9LiuzZ8clhmxbvt21C/view?usp=drive_link,,,,,,,,,,,,,,,
38,201034_Beige,"M(38),L(40),XL(42),XXL(44)",2095,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Sequance Work,Beige,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1Dml-DF2CejYE6onuZNSVqwUij9SLWaba/view?usp=drive_link,https://drive.google.com/file/d/1jDOMa_BklPDtZqgmYhbiKeXsdXIDXN7h/view?usp=drive_link,https://drive.google.com/file/d/1pYPI0Y7_EazjHVml-C2gq2-BAQCjwGXN/view?usp=drive_link,https://drive.google.com/file/d/1o_B4Js0h8Dhfhms_b3FFZwKKz0Q5_E4q/view?usp=drive_link,https://drive.google.com/file/d/170KPfXLtf2IElZShcnpatMd-j6hble3W/view?usp=drive_link,,,,,,,,,,,,,,
39,201034_Orange,"M(38),L(40),XL(42),XXL(44)",1995,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Sequance Work,Orange,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/17JrJkMWYp2WM9PfxBF0jXg6V2YItvUyQ/view?usp=drive_link,https://drive.google.com/file/d/19MU3xJM4_s45NWhfHhJd9mSKk_F-StoX/view?usp=drive_link,https://drive.google.com/file/d/1aqrvDwNZSbi0xLdfEmGdekhXrF-CnjBF/view?usp=drive_link,https://drive.google.com/file/d/1hianjcXnePR8LX32CW_lae4SjzbtXAin/view?usp=drive_link,,,,,,,,,,,,,,,
40,201034_Purple,"M(38),L(40),XL(42),XXL(44)",1995,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Sequance Work,Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1mBW5Xba3Ljfyd5rQFBDkiZMxZASk11h5/view?usp=drive_link,https://drive.google.com/file/d/1LUnsVHXWfzT70fagvM27Pbnsp2nahrkj/view?usp=drive_link,https://drive.google.com/file/d/1BOTHSMaMKjmklnn6Ub6bRe2eoOktlrXS/view?usp=drive_link,https://drive.google.com/file/d/15M2D7ilepEvXpWGMouyPMWgQdXogYssN/view?usp=drive_link,,,,,,,,,,,,,,,
41,201035_Orange,"M(38),L(40),XL(42),XXL(44)",1995,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Sequance Work,Orange,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1dZ5hZS7qZyzIgM9HWXRWWbzpSHLlQoIF/view?usp=drive_link,https://drive.google.com/file/d/1OFAKVfC9vCwDMmjijifmT7FJn_C3HOSl/view?usp=drive_link,https://drive.google.com/file/d/1RE_pQWoeMKgmA4yGroKdSEam5grhkYB0/view?usp=drive_link,,,,,,,,,,,,,,,,
42,201036_Mehndi,"M(38),L(40),XL(42),XXL(44)",1995,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Mehndi,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton || Kurti Work Type :- Embroidery Work Beads hand Work || Bottom Work :- Embroidery Lace Work || Dupatta Work :- Embroidery Multi Work || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1ojMetJZOFoJPwff9NvPu1WkcLbCx7Uj1/view?usp=drive_link,https://drive.google.com/file/d/1AhO5Jahj6_dd8AXOOhYkV3DCt76WsZUs/view?usp=drive_link,https://drive.google.com/file/d/19zlRsAZ-EIIVeo9celwguJnj5MdePfMS/view?usp=drive_link,https://drive.google.com/file/d/1L3ZxdLBLw7Rq6QIM1dey0fotVrajeKKf/view?usp=drive_link,,,,,,,,,,,,,,,
43,201036_Teal Green,"M(38),L(40),XL(42),XXL(44)",1995,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Teal Green,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Cotton || Kurti Work Type :- Embroidery Work Beads hand Work || Bottom Work :- Embroidery Lace Work || Dupatta Work :- Embroidery Multi Work || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1EwSkmWuG-wOkg3TSInFMEMssLCE3gfm7/view?usp=drive_link,https://drive.google.com/file/d/1o4gZ8LfU33KKEI6s2LcKfjrbz9oicc8I/view?usp=drive_link,https://drive.google.com/file/d/1b3TmcyglWCtgY-cBje3-Ywb2RMC8kQVw/view?usp=drive_link,https://drive.google.com/file/d/1z14BaOO_A3WgSD0jza424nplmPdpRbcC/view?usp=drive_link,,,,,,,,,,,,,,,
44,201037_White,"M(38),L(40),XL(42),XXL(44)",1995,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Multi Sequance Work,White,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,,https://drive.google.com/file/d/1GDTiuPnm3K_RRitq4kaa9W80HQw7_Sy3/view?usp=drive_link,https://drive.google.com/file/d/178kVgl0N2Eae_SpV04pkvUwtvvdQyU2H/view?usp=drive_link,https://drive.google.com/file/d/12pNP8cKUv32nQG-Qon6xzWtO4UybBBso/view?usp=drive_link,https://drive.google.com/file/d/1QebLySzhCexB0ZDiZY36bBH65udo4zwt/view?usp=drive_link,,,,,,,,,,,,,,,
