Sr no,SKU,B2B Online,GST,Category,Size,Top Fabric,Bottom Fabric,Dupatta Fabric,Inner Fabric,Color,Top Length,Bottom Length,Dupatta Length,Blouse Length,Sleeve,Sleeve Length,Neck Type,Work/Pattern,Work Type,Waist,Bust,Stitching,Content,Description,HSN,Vedio Link,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,,,
17,301016_Light Yellow,1595,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Santoon,Net,Santoon,Yellow,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/1-pVXbBeKUmK0wEPKnr7YDPDeLMxcquWX/view?usp=drive_link,https://drive.google.com/file/d/1olTPNP_oMIfeNuoFYBrRwfvxUiFsLOlQ/view?usp=drive_link,https://drive.google.com/file/d/1EkjM8ctYqJrK8x2VKprK8k7CygAmjLwK/view?usp=drive_link,https://drive.google.com/file/d/1xz_3kY74HEqsrduzdnfiBvjujr_BBqg3/view?usp=drive_link,,,,,,,,,,,,,,
18,301017_Chiku,1595,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Santoon,Net,Santoon,Cream,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/1hYLiX5vBMKPmd4tHOJuRmMMw2v_Hv3Pt/view?usp=drive_link,https://drive.google.com/file/d/1ZDx4dtaebmQwt-KApZLkaBVLeHeZ4bRu/view?usp=drive_link,https://drive.google.com/file/d/1jZXalvdrfeTWnOc4x5oAL9qNGC3rNYSc/view?usp=drive_link,https://drive.google.com/file/d/11aM0ZB95kkm_41MciDCSwVFt82aVA7Ld/view?usp=drive_link,,,,,,,,,,,,,,
19,301018_Light Peach,1595,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Santoon,Net,Santoon,Peach,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/1o3wPC7u-3EYf8Mdi7z8SSbXzGdOquykQ/view?usp=drive_link,https://drive.google.com/file/d/1KbsXDpD-yDQ-l9nKROnYozRvED8M6Z25/view?usp=drive_link,https://drive.google.com/file/d/1i_TCPNdM-rvt_WsnPowOeCbrGLmOXIsN/view?usp=drive_link,https://drive.google.com/file/d/1vi1jHmcRat4vVuHGi5os356alNfmaQaH/view?usp=drive_link,https://drive.google.com/file/d/1jpaUNfM2BA2YiMbr_6tShp-JUyNfjAIR/view?usp=drive_link,,,,,,,,,,,,,
20,301019_Dusty,1595,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,Pink,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/1cCI_uswAngyqlNKM5zLW5AyDESMqCQ0_/view?usp=drive_link,https://drive.google.com/file/d/1rCQTT6TyzrmuSCHWvNtWO4wG5-nkZi9Q/view?usp=drive_link,https://drive.google.com/file/d/1y4aCEx2bJSX3PoFGrAbrYJtRsSLEvBbR/view?usp=drive_link,https://drive.google.com/file/d/1QA-8SHqCfNVM05JMHDEYb82V-ub3s9Zp/view?usp=drive_link,,,,,,,,,,,,,,
21,301020_DARK CHIKU,1595,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,Cream,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/1lGMcH0caX4G4ZI3HMcx2O-fBF09dz4At/view?usp=drive_link,https://drive.google.com/file/d/1vPSttuJLzPGMLAarxWN8UwABiddyrX6W/view?usp=drive_link,https://drive.google.com/file/d/1CyyDLHzanDln7NbEgeN8ZifKBUk98lx4/view?usp=drive_link,https://drive.google.com/file/d/1_vFH-2aCcWyjBebCugESnG0v3N15M66t/view?usp=drive_link,https://drive.google.com/file/d/15FWX0ST2MfD9DwY4x4aZQjckur4XWtAH/view?usp=drive_link,,,,,,,,,,,,,
22,301021_Lyellow,1450,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,yellow,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,https://drive.google.com/file/d/1RBNOKdNNxFAAZotU-g3KmwRSLyC0llvA/view?usp=drive_link,https://drive.google.com/file/d/1WUC-wCBv4Qg00dlFo-sWVp-O_kPzsxKi/view?usp=drive_link,https://drive.google.com/file/d/1RIXfXnvGFoTpcszIWfT81_tgaH-72KVY/view?usp=drive_link,https://drive.google.com/file/d/1g52eD7aCkI7NP1RXKZFsYlDkbIe3ZFjH/view?usp=drive_link,https://drive.google.com/file/d/1Ft0c699BhhNSJL1nMjOgzJEZOvv3lbK9/view?usp=drive_link,https://drive.google.com/file/d/1CBvpO4GjEovhWQZ03hWFa1e1zosWwf0X/view?usp=drive_link,https://drive.google.com/file/d/1rhKTFQlkj2oozziLUhn5m34Tpkfglxf_/view?usp=drive_link,https://drive.google.com/file/d/18wc5eTRCxswJuDKjIDkp-J7slBRQGCyt/view?usp=drive_link,https://drive.google.com/file/d/1wzs7jdgl1NHSsZ6oHBeb_ykqNO_SPC4y/view?usp=drive_link,,,,,,,,,,
23,301021_Skyblue,1450,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,Sku Blue,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/17JtagqgSCN8ZXXtzI0XD0r7VmLM_u5fJ/view?usp=drive_link,https://drive.google.com/file/d/13knAJtTmyxYFjy53EJ3JxUe-k74XIixJ/view?usp=drive_link,https://drive.google.com/file/d/1MR9pHzOmPP7iA0lTSjT-nA_TuIKEW6Y8/view?usp=drive_link,,,,,,,,,,,,,,,
24,301021_pista,1450,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,Light Green,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/19ZbTdEWIMJ1qNciHqgtrNCQ_G0pqTt1V/view?usp=drive_link,https://drive.google.com/file/d/1eJl_L_dX1EVa9sGlUkq15x80dDMGO7JA/view?usp=drive_link,https://drive.google.com/file/d/16x8BDCyP6O73_YzeGkveNi8JWkjaKHaI/view?usp=drive_link,,,,,,,,,,,,,,,
25,301021_Yellow,1450,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,yellow,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/13SHGtcXmxZ4nZAKWg9JQ0fH_bO2SrQtQ/view?usp=drive_link,https://drive.google.com/file/d/1U2jRe51udmoMmP0Xehc0qkxT-mPE88x6/view?usp=drive_link,https://drive.google.com/file/d/1xy8U8uJCMMdDuko5I6E_IG1tl8r1vyiC/view?usp=drive_link,,,,,,,,,,,,,,,
26,301021_Pink,1450,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,pink,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr,62044220,,https://drive.google.com/file/d/1O7MxOAzKQPu-H-yR37FVhRLoF2a3wH--/view?usp=drive_link,https://drive.google.com/file/d/1JgY1dYj8k_qClOEsQuTg-oa788-2y2W-/view?usp=drive_link,https://drive.google.com/file/d/1o21qenm2trhLLh-ghk_cH_hAh5EvUdtO/view?usp=drive_link,,,,,,,,,,,,,,,
27,301022_Maroon,2095,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Georgette,Crepe,Georgette,Crepe,Maroon,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Sequence Work,Embroidery Sequence Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Georgette|| Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Georgette || Top Work: Embroidery Sequence Work || Bottom Work: Plain || Dupatta Work: Embroidery Sequence Work with Lace Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,https://drive.google.com/file/d/1AAcs308qbsFChuImKFQIC7d7Oy33l4Tv/view?usp=drive_link,https://drive.google.com/file/d/1drxsZTOzU6KLIME_EeHcV59lTrW0FGph/view?usp=drive_link,https://drive.google.com/file/d/1Al_b7k8LdhdoVUVrCXI_S15ZTS86HvLi/view?usp=drive_link,https://drive.google.com/file/d/1Pga2mldZqqrFV8cE_ciD-sW-XBK2x82D/view?usp=drive_link,https://drive.google.com/file/d/1QleeOKGX2igcGjN8Ecq3x6OTokKxIXyU/view?usp=drive_link,https://drive.google.com/file/d/1qn1yEhcKutyvRdMkMhiC479cBD7wpJtg/view?usp=drive_link,https://drive.google.com/file/d/1O0XdxfR26O755G0kgI8uGyfj3KHwgJ_G/view?usp=drive_link,https://drive.google.com/file/d/1MmkHSwtpk-bSsGfkTY6UUuMOrImiEGvi/view?usp=drive_link,,,,,,,,,,,
28,301022_Blue,2095,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Georgette,Crepe,Georgette,Crepe,Blue,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Sequence Work,Embroidery Sequence Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Georgette|| Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Georgette || Top Work: Embroidery Sequence Work || Bottom Work: Plain || Dupatta Work: Embroidery Sequence Work with Lace Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1HpErYbbctuBDk45d6I34NmXT0x3MimLm/view?usp=drive_link,https://drive.google.com/file/d/1jNyQxTPdXInowpoXzPT1LPbCHJjjA2ME/view?usp=drive_link,https://drive.google.com/file/d/1UiTneRaznDVFC2i6NKDi6No_JeBF9UqB/view?usp=drive_link,https://drive.google.com/file/d/1P_BoaslteVArlnYYegdkWTAo-lAdp_Dt/view?usp=drive_link,,,,,,,,,,,,,,
29,301022_Green,2095,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Georgette,Crepe,Georgette,Crepe,Green,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Sequence Work,Embroidery Sequence Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Georgette|| Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Georgette || Top Work: Embroidery Sequence Work || Bottom Work: Plain || Dupatta Work: Embroidery Sequence Work with Lace Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/16IEdAbp9bOmHzM3D6db_RB6lGYbvvhaY/view?usp=drive_link,https://drive.google.com/file/d/1TmaITjnujf4i3hdrBd8-nvgiiQDQ5opd/view?usp=drive_link,https://drive.google.com/file/d/1MSPQB8HXQrOsddciX5rPUmv-kFhjyj7q/view?usp=drive_link,https://drive.google.com/file/d/1bw9RaAdfsSM5gmXXlDsRLYlwq-a1cBoA/view?usp=drive_link,,,,,,,,,,,,,,
30,301022_Mehendi,2095,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Georgette,Crepe,Georgette,Crepe,Light Green,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Sequence Work,Embroidery Sequence Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Georgette|| Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Georgette || Top Work: Embroidery Sequence Work || Bottom Work: Plain || Dupatta Work: Embroidery Sequence Work with Lace Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1DRVXzZWUpc8L2iTIaSBdcEXAdbA6QEPl/view?usp=drive_link,https://drive.google.com/file/d/1lgtpMYI6pOW5E15xEwBtZMuieakGCVmX/view?usp=drive_link,https://drive.google.com/file/d/10aBPYoLzjKPaQYG5o7O2tVJRXssp0SiU/view?usp=drive_link,https://drive.google.com/file/d/1GIIeHA_Tfqd5oLVRGA3QZ8L0fFS7mMC8/view?usp=drive_link,,,,,,,,,,,,,,
31,301022_Purple,2095,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Georgette,Crepe,Georgette,Crepe,Purple,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Sequence Work,Embroidery Sequence Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Georgette|| Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Georgette || Top Work: Embroidery Sequence Work || Bottom Work: Plain || Dupatta Work: Embroidery Sequence Work with Lace Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1SmkbgdDZyVAlpwPhd58qxnW-pSbOzFh5/view?usp=drive_link,https://drive.google.com/file/d/1ZgLn-XEKOjex-qOPq0DRqX5F35TPHUjy/view?usp=drive_link,https://drive.google.com/file/d/1k3_5bdpereNLdWAY_e-XP8wiNGnNgdd4/view?usp=drive_link,https://drive.google.com/file/d/1CVC0VeropI5tPn8O9LMJfO0xTKr0tSbf/view?usp=drive_link,,,,,,,,,,,,,,
32,301022_Rama,2095,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Georgette,Crepe,Georgette,Crepe,Rama,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Sequence Work,Embroidery Sequence Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Georgette|| Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Georgette || Top Work: Embroidery Sequence Work || Bottom Work: Plain || Dupatta Work: Embroidery Sequence Work with Lace Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1m35MWVWK-AnHvhxyhrgP4IAivaR7KEqk/view?usp=drive_link,https://drive.google.com/file/d/113DrdHQI_-jPBW2fwMsYS3Gs8MRB3-UA/view?usp=drive_link,https://drive.google.com/file/d/1YSBbJRlqzzan7PKGHMI2jvAmnTiIgFTE/view?usp=drive_link,https://drive.google.com/file/d/1wE6IXRpHOH6l4PdFftxLe4VNMNVzRU--/view?usp=drive_link,,,,,,,,,,,,,,
33,301023_Peach,1395,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,Peach,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work :: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,https://drive.google.com/file/d/1ONxBTesu7HlU1p0zK3WIWiKeCh_czhzf/view?usp=drive_link,https://drive.google.com/file/d/1zsyiOtz1zr4O_HDXPOXeGC4JlrKGnVpm/view?usp=drive_link,https://drive.google.com/file/d/199aWm5hZfT_qpU90Lmc03ge5UVjOgLwJ/view?usp=drive_link,https://drive.google.com/file/d/1wtMOwYh78s19HPsD84G2umAHD8rt_1V3/view?usp=drive_link,https://drive.google.com/file/d/1fxG2Wn_l6lM2br2wj2Nv8Ra8Yu1Mm5q4/view?usp=drive_link,https://drive.google.com/file/d/1l8Uwq_fbUjaAMLB9nr6VtPnCyngovrwU/view?usp=drive_link,https://drive.google.com/file/d/1nbJ-qQhwoLp1uLJ1-9uRoRqUwuBK62N_/view?usp=drive_link,,,,,,,,,,,,
34,301023_Maroon,1395,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,santoon,Net,santoon,Maroon,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work :: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1WvhgdN9L7QlhN3sEE3Yqwywk1z3QCQyU/view?usp=drive_link,https://drive.google.com/file/d/18bMejjmgfekryP6CIkHfwKwF87tPPTlw/view?usp=drive_link,https://drive.google.com/file/d/168BhFIQv6JVZwwDtyehCS7CDbtbHAIVk/view?usp=drive_link,https://drive.google.com/file/d/1aZNMIpYJ1ju237lT7yPzw8WQfpTy6rH_/view?usp=drive_link,,,,,,,,,,,,,,
35,301023_Black,1395,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,santoon,Net,santoon,Black,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work :: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1bNGQTfdjE2PiM4ygizVZLBV-waDXPmmE/view?usp=drive_link,https://drive.google.com/file/d/1QKFPbZ4Xvx_BIW6v1fqC1M6RfzdKUNOF/view?usp=drive_link,https://drive.google.com/file/d/1mSwQBki6pHTEJQgF-pvLAGDhaqB1POtP/view?usp=drive_link,https://drive.google.com/file/d/1BK2lwdsQZiFbNLIVJBEO16xq9wO7nKbI/view?usp=drive_link,,,,,,,,,,,,,,
36,301023_Blue,1395,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,santoon,Net,santoon,Blue,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work :: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1qlXT-ymnPe72GeOsCbpV2nr5SREQet4S/view?usp=drive_link,https://drive.google.com/file/d/1QTrf-wMCp798ttAN6Kn58Q_3dWl7PYIX/view?usp=drive_link,https://drive.google.com/file/d/1cEB7esLv6tYb4nMoUF7R6J1AQt6KRoG4/view?usp=drive_link,https://drive.google.com/file/d/1JfBHxlRssPImWN0meLEOu6wgRRxy0Eas/view?usp=drive_link,,,,,,,,,,,,,,
37,301023_Green,1395,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,santoon,Net,santoon,Green,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Santoon || Bottom Fabric: Santoon|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work :: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1n6qMRM8YQKMPn8OUzE9nX5GqZmWT2lEV/view?usp=drive_link,https://drive.google.com/file/d/16MRiTs1lLANzxcMQ_JhEz8xkCfUkP5lR/view?usp=drive_link,https://drive.google.com/file/d/1e6kn0pdEikyDumXOr4llEvQNBDv9BdUM/view?usp=drive_link,https://drive.google.com/file/d/19a06pdGXlE3PRVJfe_obqkK9Bv61MZSx/view?usp=drive_link,,,,,,,,,,,,,,
38,301023_Musterd,1395,Extra,Anarkali Suit,Semi-stiched(FREE SIZE),Net,Crepe,Net,Crepe,yellow,57 Inch,2 Mtr,2.2Mtr,NA,3/4 Sleeve,16 Inch,Round,Embroidery Chain Stitch Work,Embroidery Chain Stitch Work,44,42,Semi-stich,Top :: 1 Bottom ::1 Duptta ::1,Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe || Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work :: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.2 mtr,62044220,,https://drive.google.com/file/d/1mQFPaGE7AZttMmxWPBNA5CFNZLk2tvpB/view?usp=drive_link,https://drive.google.com/file/d/1gZbQf2RNqBWBIGPnDZx7ryg6yXrf0GtQ/view?usp=drive_link,https://drive.google.com/file/d/1OIb1FoK3eFijuCC_XuCdN8DSGRP4tZbv/view?usp=drive_link,https://drive.google.com/file/d/1AET9YBXRbymGxpbRU0iV89iJVSIq7Apr/view?usp=drive_link,,,,,,,,,,,,,,
